Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Rooms_outlier,HouseFloor_outlier,HouseYear_outlier,LifeSquare_nan,DistrictSize,new_district,IsDistrictLarge,MedPriceByDistrict,MedPriceByFloorYear
1.0,39.539156048541386,35.932197466294696,5.0,14,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,181467.96476949815
1.0,33.177617647496504,19.8699755008758,7.0,5,8.0,1960,0.006076152,1,1,30,5285,0,6,6,1,0,0,0,0,24,0,0,274139.06587537576,189145.45109120343
3.0,74.96964525548526,27.938422529532627,9.0,11,15.0,1999,0.12209034699999999,1,1,29,6566,7,4,0,1,0,0,0,0,50,0,0,302975.2149963466,237885.89122667816
1.0,37.45222617602207,20.457405537667594,6.0,2,9.0,1977,0.341071945,1,1,27,5664,48,3,11,1,0,0,0,0,11,0,0,359932.07368217246,180382.19663356265
3.0,64.84498938271973,42.99608475601756,7.0,10,12.0,1978,6.99893e-05,1,1,46,10309,1,1,16,1,0,0,0,0,64,0,0,285751.1692128988,181467.96476949815
2.0,59.46691916844984,33.74658904473486,9.0,10,16.0,2016,0.130617806,1,1,39,10418,9,1,9,1,0,1,0,0,60,0,0,202514.82509105158,179466.09423541973
3.0,100.98357664390913,57.766180635842716,10.0,4,5.0,1952,0.307466659,1,0,30,5048,9,2,5,1,0,0,0,0,50,0,0,302975.2149963466,189145.45109120343
4.0,101.45936385614094,66.8560523557334,9.0,16,22.0,1996,0.0077202819999999985,1,1,38,4788,2,0,4,1,0,0,0,0,21,0,0,593452.1969782031,281843.2505443552
3.0,77.36932002757626,45.01601777763567,11.0,6,18.0,2010,0.23861713,1,1,26,3889,6,3,6,1,0,0,0,0,22,0,0,443764.0984994193,227478.6879975081
2.0,60.86378386981387,32.91039230569053,10.0,14,17.0,1992,0.090799103,1,1,74,19083,2,5,15,1,0,0,0,0,38,0,0,238121.0625282982,237885.89122667816
3.0,60.44391134620359,39.50092919674027,6.0,2,5.0,1966,0.194489265,1,1,47,8004,3,3,5,1,0,0,0,0,117,0,1,241677.5411269828,180382.19663356265
1.0,41.11876598003856,37.51180739779187,5.0,4,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,1,372,0,1,104300.89360893519,189145.45109120343
1.0,41.167478948426734,22.36071395157517,11.0,3,14.0,2008,0.13012277,1,1,8,1986,0,0,0,1,0,0,0,0,194,0,1,139025.78503488025,241426.3960999263
2.0,57.13926418546018,33.269097960264354,9.0,8,16.0,1979,0.015016891999999999,1,1,17,3079,59,0,8,1,0,0,0,0,17,0,0,351771.40729643835,192086.8226061738
1.0,40.13197210179686,19.251589693153655,8.0,8,17.0,1985,0.050900058,1,1,43,10621,1,2,3,1,0,0,0,0,51,0,0,147456.16058131488,234076.0658760037
1.0,44.26046907630364,41.792348851120366,5.0,9,17.0,2017,0.21140121399999998,1,1,9,1892,0,0,1,1,0,0,0,0,580,0,1,119817.44845668125,178912.36908081267
1.0,86.38675405314406,71.904999310516,5.0,37,38.0,2012,0.23610845800000002,1,1,16,3893,27,3,10,1,0,0,0,0,12,0,0,227510.0337622088,192555.49709032386
4.0,66.83129469945099,44.89742714179632,5.0,9,9.0,1976,0.341071945,1,1,27,5664,48,3,11,1,0,0,0,0,20,0,0,380616.73617199535,192086.8226061738
1.0,34.83195181081082,20.615347506798187,5.0,5,5.0,1963,0.051942062000000004,1,1,17,4017,7,2,0,1,0,0,0,0,4,0,0,186938.73802525958,189145.45109120343
2.0,45.280191069579104,30.98292306441709,6.0,9,9.0,1977,0.0,1,1,39,8647,0,0,5,1,0,1,0,0,17,0,0,239916.73499882902,192086.8226061738
1.0,43.42726051988634,21.911174134153587,12.0,6,17.0,1999,0.019508796000000002,1,1,37,7687,11,5,5,1,0,0,0,0,16,0,0,199248.11437562987,234076.0658760037
2.0,48.82345717459147,32.46144296470069,6.0,6,9.0,1972,0.135649789,1,1,46,7960,6,3,11,1,0,1,0,0,24,0,0,236250.3939867317,192086.8226061738
1.0,37.60898958197157,20.885469222675308,6.0,1,12.0,1980,0.298204575,1,1,16,4048,3,1,3,1,0,0,0,0,64,0,0,175686.8706161037,180382.19663356265
1.0,32.28417552744095,19.17693952198222,6.0,7,9.0,1978,0.037177818,1,1,52,11217,1,1,7,1,0,0,0,0,51,0,0,160187.25180281582,192086.8226061738
3.0,73.759089460445,45.4800025753525,10.0,6,17.0,1994,0.161531741,1,1,25,5648,1,2,4,1,0,0,0,0,194,0,1,244756.66532510985,234076.0658760037
2.0,66.15145986096162,62.54450127871493,5.0,3,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,1,0,1,445,0,1,203094.7278714942,180382.19663356265
2.0,61.15916350322612,34.73542688182703,11.0,14,17.0,2016,0.011654127,1,1,4,915,0,0,0,1,0,0,0,0,580,0,1,165993.29245046596,179466.09423541973
2.0,44.98022779594768,29.229835969424467,5.0,2,5.0,1963,0.020741326,1,1,24,5613,5,2,5,1,0,1,0,0,29,0,0,228888.1159254323,180382.19663356265
2.0,61.18380077629354,57.57684219404685,5.0,5,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,203094.7278714942,189145.45109120343
1.0,29.56342825938302,25.95646967713633,5.0,12,19.0,1977,0.21140121399999998,1,1,9,1892,0,0,1,1,0,0,0,1,580,0,1,119817.44845668125,181467.96476949815
1.0,46.83381220471525,21.755191779720462,9.0,6,25.0,2001,0.090799103,1,1,74,19083,2,5,15,1,0,0,0,0,76,0,0,186304.50161341895,227478.6879975081
2.0,54.93797179436879,32.00385635069459,9.0,3,17.0,1990,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,0,94,0,0,168723.59916172136,205210.0685419325
1.0,33.22250524274529,22.6614531781958,5.0,5,5.0,1961,0.14966637300000002,1,1,22,4789,2,4,1,1,0,1,0,0,48,0,0,153993.01841010654,189145.45109120343
1.0,33.60496332970397,21.092014115411306,5.0,2,5.0,1962,0.020741326,1,1,24,5613,5,2,5,1,0,0,0,0,10,0,0,168601.97480454494,180382.19663356265
1.0,42.0667959897241,38.45983740747741,5.0,12,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,181467.96476949815
2.0,60.939258082654845,63.353340479961844,5.0,1,1.0,2012,0.041124634,1,1,46,9515,5,1,10,1,0,1,0,0,60,0,0,272671.89016792487,176912.07860305184
4.0,66.12301644519012,46.69933637598231,5.0,7,9.0,1968,0.111627393,1,1,50,12238,8,2,3,1,0,0,0,0,42,0,0,317086.2116858512,192086.8226061738
1.0,33.9896519333877,20.962954995738524,5.0,5,12.0,1966,0.327018035,1,1,12,2270,23,1,0,1,0,0,0,0,7,0,0,187296.6065537506,189145.45109120343
1.0,42.719972077143844,21.285196434992827,10.0,10,22.0,2000,0.050755569,1,1,24,5469,1,0,1,1,0,0,0,0,26,0,0,203801.768016864,237885.89122667816
2.0,77.59577252788972,73.98881394564303,5.0,5,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,580,0,1,165993.29245046596,189145.45109120343
1.0,44.5539601060279,40.94700152378121,5.0,3,17.0,1977,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,1,345,0,1,131151.38600978858,180382.19663356265
1.0,42.01925027987153,38.41229169762484,5.0,6,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,1,372,0,1,104300.89360893519,192086.8226061738
1.0,41.57977135837287,18.9865911050792,8.0,5,10.0,2014,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,0,372,0,1,104300.89360893519,165526.307915045
2.0,58.171871286993905,33.84210099866311,11.0,4,7.0,1998,0.0077202819999999985,1,1,38,4788,2,0,4,1,0,0,0,0,21,0,0,226073.51208253118,217602.69968302205
2.0,38.79410868578661,26.688804041778887,6.0,6,12.0,1970,0.195781053,1,1,23,5212,6,3,2,1,0,0,0,0,79,0,0,329815.68074626534,192086.8226061738
1.0,29.947690611033767,26.340732028787077,5.0,11,22.0,2018,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,1,148,0,1,127160.13786863102,179466.09423541973
1.0,35.11488904544369,31.507930463197,5.0,14,16.0,1977,0.23610845800000002,1,1,16,3893,27,3,10,1,0,0,0,1,22,0,0,160008.21236543995,181467.96476949815
1.0,46.81967906452913,18.682640622629272,11.0,13,22.0,2012,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,54,0,0,151319.51539642597,179466.09423541973
2.0,65.07898897519843,27.62686148396968,7.0,5,5.0,1959,0.111627393,1,1,50,12238,8,2,3,1,0,0,0,0,26,0,0,224211.26528600245,189145.45109120343
3.0,4.8236794023249505,79.7679641356266,5.0,6,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,0,445,0,1,241383.6240674414,192086.8226061738
2.0,58.37687599577485,36.14656415858998,8.0,3,5.0,1959,0.0,1,1,25,5027,4,1,1,1,0,0,0,0,16,0,0,385624.6037625366,180382.19663356265
2.0,45.05970166456385,31.391048193177465,5.0,5,5.0,1960,0.014423113999999999,1,1,19,3806,4,0,3,1,0,0,0,0,79,0,0,329815.68074626534,189145.45109120343
1.0,41.42576261324774,20.371188661443387,8.0,12,24.0,2004,0.13321533300000002,1,1,49,11395,3,3,4,0,0,0,0,0,76,0,0,167707.2845679715,254236.32508556198
2.0,56.76653280874138,33.11153617123728,8.0,4,14.0,1990,0.090799103,1,1,74,19083,2,5,15,1,0,0,0,0,76,0,0,246103.408670882,217602.69968302205
2.0,58.405275031002894,29.41128020437941,7.0,12,12.0,1980,0.122190486,1,1,25,4724,2,1,3,1,0,0,0,0,47,0,0,209423.3982276428,181467.96476949815
1.0,38.62616437739987,19.171490137373407,9.0,10,16.0,1980,0.127375905,1,1,43,8429,3,3,9,1,0,0,0,0,40,0,0,187478.4647942477,181467.96476949815
3.0,78.13177242983359,47.50219064344632,10.0,3,17.0,1989,0.041365446,1,1,31,5569,0,1,4,1,0,0,0,0,40,0,0,262246.52085976896,205210.0685419325
1.0,34.6116464398637,18.45775182319646,6.0,8,9.0,1968,0.135649789,1,1,46,7960,6,3,11,1,0,0,0,0,24,0,0,187360.07563110936,192086.8226061738
1.0,39.324388879090534,22.14749166901059,8.0,12,17.0,1989,0.0,1,1,30,5562,0,0,5,0,0,0,0,0,33,0,0,176204.82846699486,237885.89122667816
3.0,77.76942997264098,47.51806342006621,10.0,6,14.0,1999,0.090799103,1,1,74,19083,2,5,15,1,0,1,0,0,76,0,0,325577.83755331865,234076.0658760037
2.0,41.20842185979395,20.52423997883241,6.0,12,12.0,1966,0.019508796000000002,1,1,37,7687,11,5,5,1,0,0,0,0,16,0,0,320875.1742663221,181467.96476949815
2.0,48.81219465072488,34.67977899430989,5.0,5,5.0,1963,0.034331497,1,1,25,5487,3,0,4,1,0,0,0,0,117,0,1,182602.28698322122,189145.45109120343
1.0,39.64329952446671,20.92433313990341,8.0,7,12.0,1982,6.99893e-05,1,1,46,10309,1,1,16,1,0,0,0,0,26,0,0,177280.25250066986,234076.0658760037
2.0,57.26715347483897,32.64569555984214,8.0,5,12.0,1982,0.31392455199999997,1,1,22,4625,11,2,10,1,0,0,0,0,20,0,0,226216.98209361895,217602.69968302205
1.0,43.20868171510765,39.60172313286096,5.0,12,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,164,0,1,131107.27196192677,181467.96476949815
3.0,64.67309833017733,43.098379762614364,7.0,2,12.0,1975,0.00016967599999999998,1,1,36,5992,0,1,1,1,0,0,0,0,86,0,0,246878.7885605056,180382.19663356265
1.0,53.47263141299295,49.86567283074626,5.0,16,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,171739.19921978915
3.0,85.0882305164761,81.48127193422941,5.0,9,12.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,0,0,1,580,0,1,207858.57125868363,192086.8226061738
3.0,60.49246531901517,45.495221517928194,5.0,1,9.0,1970,0.17891679600000002,1,1,18,3594,4,1,5,1,0,1,0,0,47,0,0,301201.17398508487,180382.19663356265
3.0,83.53796985492329,54.50621623226662,8.0,7,9.0,1957,0.20014680199999998,1,1,23,3975,8,2,0,1,0,0,0,0,6,0,0,534568.2491860571,192086.8226061738
2.0,44.614222169043714,29.380245590756374,5.0,8,9.0,1967,0.174739084,1,1,17,3379,9,0,3,1,0,0,0,0,18,0,0,221402.82049094525,192086.8226061738
2.0,59.96722996245699,38.60943016919785,8.0,10,25.0,2007,0.16197556800000001,1,0,31,7010,5,3,7,1,0,0,0,0,21,0,0,200836.2666025366,254236.32508556198
1.0,33.72930963434324,17.89549071077311,7.0,7,8.0,1961,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,0,148,0,1,127160.13786863102,192086.8226061738
2.0,49.5435385939334,31.274471750157446,5.0,10,12.0,1971,0.118537385,1,1,30,6207,1,1,0,1,0,0,0,0,44,0,0,228501.5171060753,181467.96476949815
1.0,37.66972545126142,34.06276686901473,5.0,4,17.0,1977,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,1,345,0,1,131151.38600978858,189145.45109120343
1.0,33.355538407132265,18.450659702561428,5.0,2,5.0,1964,0.0,1,1,47,11319,0,3,5,1,0,1,0,0,22,0,0,186265.70732897692,180382.19663356265
3.0,63.832829113082845,46.990149036937844,5.0,4,9.0,1974,0.09229064199999999,1,1,21,4346,2,1,2,1,0,0,0,0,36,0,0,233975.9147241121,189145.45109120343
3.0,77.19754535969173,46.196061939351814,9.0,3,16.0,2015,0.130617806,1,1,39,10418,9,1,9,1,0,0,0,0,60,0,0,304640.10644178034,176912.07860305184
3.0,76.70602194737765,45.984711814052936,8.0,3,17.0,2005,0.034331497,1,1,25,5487,3,0,4,1,0,0,0,0,117,0,1,241677.5411269828,241426.3960999263
2.0,48.99811866548002,29.39045734924957,5.0,2,5.0,1967,0.212515361,1,1,19,3293,16,3,7,1,0,0,0,0,16,0,0,230484.09082053544,180382.19663356265
2.0,53.86063080274344,33.97441403371593,8.0,4,17.0,2001,0.093442564,1,1,23,4635,5,2,4,1,0,0,0,0,35,0,0,231265.5823354805,250383.83440186398
1.0,42.174271729716466,34.960354565223085,10.0,4,17.0,2017,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,165526.307915045
3.0,56.95816521638435,35.522161081184244,6.0,6,9.0,1970,0.036122292,1,1,24,4378,0,1,1,1,0,0,0,0,76,0,0,289185.6414617484,192086.8226061738
2.0,47.16191119148883,32.432703792698945,6.0,7,12.0,1976,0.521867054,1,1,25,6149,0,0,0,1,0,0,0,0,58,0,0,208793.45650635546,192086.8226061738
1.0,48.611848104090214,45.00488952184352,5.0,20,25.0,1977,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,1,345,0,1,131151.38600978858,171739.19921978915
3.0,58.71794137388485,37.40880980150163,5.0,3,5.0,1969,0.033493708,1,1,66,10573,1,3,8,1,0,1,0,0,35,0,0,195603.41560497307,180382.19663356265
1.0,42.341355833534585,36.57022210193988,8.0,12,18.0,1977,0.161531741,1,1,25,5648,1,2,4,1,0,0,0,1,194,0,1,139025.78503488025,181467.96476949815
2.0,61.4348462186637,57.82788763641701,5.0,16,25.0,1977,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,1,345,0,1,178456.97357523238,171739.19921978915
2.0,57.300257272154816,33.496250147738536,9.0,17,17.0,1992,0.0006991189999999999,1,1,14,3369,24,0,3,1,0,0,0,0,20,0,0,221918.95312366594,281843.2505443552
2.0,66.75567200074258,62.881956220094345,12.0,3,17.0,2015,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,0,345,0,1,178456.97357523238,176912.07860305184
3.0,85.84751290957661,82.24055432732992,5.0,5,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,241383.6240674414,189145.45109120343
1.0,42.41859945327382,20.587835194469253,9.0,3,16.0,1985,0.309479124,1,1,35,7715,4,0,6,1,0,0,0,0,24,0,0,181535.38790175162,205210.0685419325
1.0,37.26507008021768,20.239713664198057,9.0,9,12.0,2021,0.1363303,1,1,30,6141,10,3,6,1,0,0,1,0,25,0,0,246219.24186211318,178912.36908081267
1.0,40.0984211714924,36.49146258924571,5.0,1,1.0,2016,0.036122292,1,1,24,4378,0,1,1,1,0,1,0,1,76,0,0,171145.16906879435,176912.07860305184
3.0,75.37376214943367,46.0696178954201,10.0,15,16.0,1977,0.037177818,1,1,52,11217,1,1,7,1,0,0,0,0,51,0,0,272987.5205712006,181467.96476949815
3.0,76.77542504532225,47.137978373497646,9.0,12,17.0,1988,0.089039719,1,1,33,7976,5,0,11,1,0,0,0,0,40,0,0,281754.7771011172,237885.89122667816
1.0,38.01232026474068,18.121382338163066,8.0,6,17.0,2014,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,0,372,0,1,104300.89360893519,178912.36908081267
2.0,38.1447306116739,21.269498895450326,7.0,2,8.0,1962,0.051942062000000004,1,1,17,4017,7,2,0,1,0,0,0,0,29,0,0,228888.1159254323,180382.19663356265
3.0,97.87031476831024,95.69327993378471,5.0,15,17.0,2016,0.195781053,1,1,23,5212,6,3,2,1,0,0,0,0,79,0,0,410641.4580360117,179466.09423541973
3.0,79.8771512175272,80.39730781340961,5.0,15,17.0,2015,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,0,445,0,1,241383.6240674414,179466.09423541973
1.0,41.07751179803863,36.027769782893266,7.0,2,17.0,2016,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,176912.07860305184
2.0,45.51172537032875,30.708154486576664,6.0,5,12.0,1975,0.089039719,1,1,33,7976,5,0,11,1,0,0,0,0,19,0,0,203384.32802587762,189145.45109120343
2.0,52.85947851506897,33.009612249381014,9.0,17,17.0,2011,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,0,372,0,1,144402.24532042688,192555.49709032386
3.0,52.543886434194384,36.78578870352685,6.0,8,9.0,1981,0.037177818,1,1,52,11217,1,1,7,1,0,1,0,0,51,0,0,272987.5205712006,234076.0658760037
1.0,40.82050737857315,37.21354879632646,5.0,5,17.0,1977,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,147956.0257349155,189145.45109120343
1.0,33.1919473872804,21.66117982977592,10.0,12,12.0,1973,0.042031587,1,1,37,6856,84,2,5,1,0,0,0,0,8,0,0,178886.32268979552,181467.96476949815
2.0,58.23081009290866,33.38826703576766,8.0,12,17.0,1984,0.007658515,1,1,35,7077,56,3,19,1,0,0,0,0,1,0,0,352568.9502215272,237885.89122667816
1.0,37.661783875930325,23.31043045816032,7.0,11,17.0,1992,0.0,1,1,27,4798,0,2,8,1,0,0,0,0,37,0,0,178745.35509443897,237885.89122667816
